"Thank you for registering with Wowcher.","Gracias por registrarte en Wowcher."
"Are you sure you would like to remove this item from the shopping cart?","¿Confirmas que deseas quitar este artículo del carrito de compras?"
"Please, enter valid Credit Card Number","Ingresa un número de tarjeta de crédito válido"
"Please, enter valid Expiration Date","Ingresa una fecha de vencimiento válida"
"Please, enter valid Card Verification Number","Ingresa un número de verificación válido"
"Please specify the quantity of product(s).","Especifica la cantidad de productos."
"Deals Refresh In:","Ofertas Actualizar en:"
"Continue","Seguir"
"More Options","Mas opciones"
"More categories","Mas categorias"
"Request Reset Password Link","Solicitar enlace de restablecimiento de contraseña"
"Already registered?","¿Ya registrado?"
"Login here","Entre aquí"
"Register","Registrarse"
"Forgot Password","Se te olvidó tu contraseña"
"Adding...","Añadiendo..."
"Time remaining:","Tiempo restante:"
"14 day no quibble refund","14 días sin reembolso"
"Over 2 million deals delivered each year","Más de 2 millones de acuerdos entregados cada año"
"Show all subcategories","Mostrar todas las subcategorías"
"others have already bought this deal today!","personas más ya han comprado esta oferta hoy"
"others have already bought this morning!","personas más ya han comprado esta mañana"
"others bought this deal in the last 24 hours!","Otras compraron esta oferta en las últimas 24 horas"
"in %1","en %1"
"Add to cart","Añadir a la cesta"
